@relation features_/home/shubham/PersonalityRecognizer/texts

@attribute filename string
@attribute AOA numeric
@attribute BROWN-FREQ numeric
@attribute CONC numeric
@attribute FAM numeric
@attribute IMAG numeric
@attribute K-F-FREQ numeric
@attribute K-F-NCATS numeric
@attribute K-F-NSAMP numeric
@attribute MEANC numeric
@attribute MEANP numeric
@attribute NLET numeric
@attribute NPHON numeric
@attribute NSYL numeric
@attribute T-L-FREQ numeric
@attribute WC numeric
@attribute WPS numeric
@attribute Qmarks numeric
@attribute Unique numeric
@attribute Dic numeric
@attribute Sixltr numeric
@attribute Abbreviations numeric
@attribute Emoticons numeric
@attribute Pronoun numeric
@attribute I numeric
@attribute We numeric
@attribute Self numeric
@attribute You numeric
@attribute Other numeric
@attribute Negate numeric
@attribute Assent numeric
@attribute Article numeric
@attribute Preps numeric
@attribute Number numeric
@attribute Affect numeric
@attribute Posemo numeric
@attribute Posfeel numeric
@attribute Optim numeric
@attribute Negemo numeric
@attribute Anx numeric
@attribute Anger numeric
@attribute Sad numeric
@attribute Cogmech numeric
@attribute Cause numeric
@attribute Insight numeric
@attribute Discrep numeric
@attribute Inhib numeric
@attribute Tentat numeric
@attribute Certain numeric
@attribute Senses numeric
@attribute See numeric
@attribute Hear numeric
@attribute Feel numeric
@attribute Social numeric
@attribute Comm numeric
@attribute Othref numeric
@attribute Humans numeric
@attribute Time numeric
@attribute Past numeric
@attribute Present numeric
@attribute Future numeric
@attribute Space numeric
@attribute Up numeric
@attribute Down numeric
@attribute Incl numeric
@attribute Excl numeric
@attribute Motion numeric
@attribute Achieve numeric
@attribute Relig numeric
@attribute Sexual numeric
@attribute Swear numeric
@attribute Nonfl numeric
@attribute Fillers numeric
@attribute Period numeric
@attribute Comma numeric
@attribute Colon numeric
@attribute SemiC numeric
@attribute QMark numeric
@attribute Exclam numeric
@attribute Dash numeric
@attribute Quote numeric
@attribute Apostro numeric
@attribute Parenth numeric
@attribute OtherP numeric
@attribute AllPct numeric
@attribute Extraversion numeric
@attribute 'Emotional stability' numeric
@attribute Agreeableness numeric
@attribute Conscientiousness numeric
@attribute 'Openness to experience' numeric

@data
/home/shubham/PersonalityRecognizer/texts/910.txt,1.364566,?,-0.977067,0.768194,-0.562073,?,?,?,0.226782,-0.958138,0.758263,-0.20552,0.118213,?,-1.171934,-0.104817,0,0.435005,-0.053804,1.405681,0,0,0.050403,0.097536,-0.562853,0.046906,1.278633,-0.366003,-1.120516,-0.598275,-0.635454,-0.7709,0.15167,0.862724,-0.505329,-0.989699,0.890436,1.797739,1.610243,0.619455,3.534871,1.459782,0.2975,1.311598,0.361482,0.111853,-0.362072,0.458837,-0.923624,-1.436544,-0.057195,0.083531,1.288081,-0.190568,0.210415,-0.447966,-2.104303,0.476329,0.347067,-0.804055,-1.288172,-0.993008,-0.501183,1.279117,-1.424485,-0.562516,1.725455,-0.490399,-0.757481,-0.564505,-0.278349,-0.08688,-0.587607,0,0,0,0,0,0,0,0,0,-0.193295,-0.610687,4.796426,4.213128,4.492554,4.332998,4.903835
/home/shubham/PersonalityRecognizer/texts/1821.txt,-0.640854,?,-0.189962,-0.257596,0.05693,?,?,?,-0.733927,1.363115,0.279528,0.346624,0.173648,?,-0.839354,-0.189503,0,1.11702,0.100471,-0.593312,0,0,-0.794162,-0.875658,1.586318,-0.737749,-0.49295,-0.472668,0.481723,-0.598275,0.956635,-0.169968,0.422274,-1.01369,-1.609305,-0.4352,-0.687214,0.308987,1.132423,-0.129255,0.772933,-1.559003,-0.847548,-1.455305,-0.656524,0.798037,0.612361,0.117355,0.045448,-0.478742,-0.339939,-0.140236,-0.914095,-0.816186,-0.051401,-0.567703,3.072808,0.655734,0.26265,-0.804055,-0.555102,-0.053746,-0.501183,-0.952344,-0.969032,0.900726,-0.916214,-0.490399,-0.757481,0.057525,-0.278349,-0.08688,0.313748,0,0,0,0,0,0,0,0,0,-0.193295,0.283737,4.370836,4.05202,4.284788,4.893034,4.973424
/home/shubham/PersonalityRecognizer/texts/1679.txt,-1.07218,?,0.071708,-1.856507,1.156928,?,?,?,-0.205845,1.039702,1.295631,1.457827,-0.578842,?,-0.230803,8.412218,0,0.314464,-1.612486,-2.224486,0,0,-3.340849,-2.920409,-0.562853,-2.995074,-0.49295,-0.917481,1.246318,-0.598275,-0.635454,-1.194165,-1.137683,-0.6987,-0.636041,0.238964,-0.838864,-0.28691,-0.369606,-0.035282,-0.174596,-0.883688,-0.847548,-0.682134,-0.310097,0.326145,-1.004505,0.796918,0.69716,1.039475,0.513029,-0.728776,0.070891,0.820238,-1.143231,-1.067032,0.583702,-0.484964,2.780624,-0.051436,-1.189299,-0.299267,-0.501183,-0.952344,-1.424485,2.458182,-0.673741,-0.490399,1.07347,-0.564505,-0.278349,-0.08688,-2.620608,0,0,0,0,0,0,0,0,0,-0.193295,-2.628056,4.678106,3.585848,4.284788,4.893034,4.973424
/home/shubham/PersonalityRecognizer/texts/2461.txt,-0.659012,?,1.315691,-0.945107,1.666795,?,?,?,0.698859,-0.482307,1.648054,1.383488,1.622356,?,-0.152965,-0.055987,0,1.264707,0.037238,1.307812,0,0,-1.183655,-0.763111,-0.562853,-0.820595,-0.49295,-0.599571,-0.547951,0.04078,-0.635454,-0.706165,1.092139,0.994953,1.662967,1.388125,0.805817,-0.341384,-0.860188,0.555941,-0.204333,-0.285725,1.132712,-1.552687,-0.148036,-0.362109,-0.34805,-0.28892,-0.681911,0.274822,-0.67633,-0.739926,0.427479,-0.633043,-0.883119,0.717333,0.341558,-1.673137,-0.415326,0.652485,-0.613897,-0.321712,-0.501183,0.334027,-0.122426,-0.856683,0.391429,-0.490399,1.014234,0.324633,1.209192,-0.08688,-0.893501,0,0,0,0,0,0,0,0,0,1.521484,-0.669396,4.94507,3.585848,4.492554,4.819516,4.973424
/home/shubham/PersonalityRecognizer/texts/748.txt,-1.319069,?,0.795813,-0.273787,1.163599,?,?,?,0.313086,0.744762,-0.606884,-0.467361,0.881763,?,-1.313457,-0.184525,0,0.605204,1.1187,0.871851,0,0,1.086914,1.247099,-0.562853,1.205624,-0.49295,-0.917481,-0.014425,-0.598275,1.562714,-0.251438,-0.419748,0.356849,-0.598412,-0.989699,1.135641,1.176809,-0.860188,1.404723,1.483548,0.264132,1.702787,-1.42287,1.020461,2.731512,0.703398,-0.323617,-1.096035,-0.114125,-1.519041,-0.429196,-0.604641,-1.333276,-1.143231,-0.377618,3.071699,0.305189,0.566045,0.60283,-1.804509,-0.993008,-0.501183,-0.952344,-1.424485,-0.889998,-0.021243,-0.490399,-0.757481,-0.564505,-0.278349,-0.08688,0.239212,0,0,0,0,0,0,0,0,0,-0.193295,0.209775,4.370836,3.767593,4.492554,4.472535,4.253278
/home/shubham/PersonalityRecognizer/texts/1076.txt,1.394281,?,0.703812,1.000023,1.25149,?,?,?,0.444716,-0.55708,-0.260285,-0.538589,0.669469,?,-0.84643,-0.111029,0,0.203049,0.422304,-0.449242,0,0,0.731746,1.08822,-0.562853,1.04548,-0.49295,-0.47083,-1.120516,-0.598275,0.16388,-0.508545,1.995124,1.137745,1.00093,0.123882,1.062822,0.572748,0.473708,-0.562908,2.655049,-1.551123,-0.847548,-0.992959,-0.948892,0.805496,0.301179,0.123239,-1.48004,-0.474784,-1.124383,-0.604886,-0.1489,-1.132873,-0.777784,-0.56564,1.136011,0.666301,-0.849927,2.265512,-0.549939,-0.049864,-0.501183,-0.349911,-0.96715,1.598511,0.616523,-0.490399,-0.135184,-0.564505,-0.278349,-0.08688,-0.540739,0,0,0,0,0,0,0,0,0,-0.193295,-0.564179,5.015542,4.213128,4.65556,4.893034,4.307728
/home/shubham/PersonalityRecognizer/texts/350.txt,-0.9533,?,0.060468,0.860326,0.505345,?,?,?,1.349707,-0.338989,-0.771966,-0.667638,-0.810566,?,2.422761,2.307322,0,-2.186804,0.280848,-0.445114,0,0,-0.150255,0.373267,-0.562853,0.324833,-0.49295,-0.917481,-0.567471,0.018994,-0.360683,-0.722801,-0.240264,2.197533,2.740955,0.732872,1.536141,0.215081,1.66171,-0.699549,-0.019879,0.264132,-0.209965,-0.082981,0.816094,-0.07254,0.924619,-0.815158,-1.096035,0.051178,-1.11205,-0.429196,-1.335726,-1.333276,-1.143231,-0.722325,1.926213,-0.356849,0.609311,0.954551,-0.941992,-0.344597,0.260124,-0.952344,-0.79565,1.351805,0.154143,-0.490399,-0.757481,-0.564505,-0.278349,-0.08688,-2.44187,0,0,0,0,0,0,0,0,0,-0.193295,-2.450691,4.796426,4.388147,4.65556,4.893034,4.307728
/home/shubham/PersonalityRecognizer/texts/464.txt,1.553186,?,-0.378463,-0.673883,-0.753915,?,?,?,-1.24424,-3.432465,-0.42295,-0.21017,-0.282856,?,-0.18127,-0.116401,0,0.000873,-0.942301,0.603701,0,0,0.410967,0.670946,-0.562853,0.624882,0.540473,-0.595786,-0.541135,0.048387,-0.635454,1.768691,0.366562,-0.239182,-1.017287,-0.588677,0.410925,0.77713,-0.860188,-0.055384,0.706266,0.211888,-0.179604,0.438713,-0.770181,4.215138,-0.792474,-1.306699,-1.766521,-0.743848,-1.519041,-0.39852,-0.415653,-1.312282,-0.353604,0.016333,-0.470644,-0.052101,-1.18107,-0.804055,0.002669,0.365568,2.689057,-0.518449,-0.106925,-0.597833,-0.321904,-0.490399,-0.757481,-0.564505,-0.278349,-0.08688,-0.49844,0,0,0,0,0,0,0,0,0,-0.193295,-0.522205,4.796426,3.767593,4.170735,4.79252,4.583562
/home/shubham/PersonalityRecognizer/texts/892.txt,0.633142,?,-0.352846,-0.917191,0.175284,?,?,?,0.382022,-0.425189,1.254057,1.106292,1.586905,?,-1.271,0.5923,0,0.620345,-0.649075,1.255113,0,0,-0.948082,-0.580341,-0.562853,-0.636369,-0.49295,-0.323582,-0.050889,-0.598275,-0.635454,-0.738341,0.25085,-0.476515,-1.292957,-0.249351,-0.492769,0.396666,-0.860188,0.162641,0.567802,1.20212,-0.847548,-0.539427,0.13562,0.197936,4.038723,0.594647,-0.802052,-0.797132,-0.469511,0.172525,-0.457735,-0.921458,-0.657307,0.26634,0.278697,-1.474797,0.060168,-0.804055,-0.692399,0.261062,-0.501183,-0.151307,-1.424485,-0.008317,-0.067498,-0.490399,0.069968,0.266008,-0.278349,-0.08688,-2.044454,0,0,0,0,0,0,0,0,0,-0.193295,-2.056332,4.94507,4.05202,4.284788,4.893034,4.973424
/home/shubham/PersonalityRecognizer/texts/1482.txt,0.135981,?,-0.081483,0.70309,-0.300148,?,?,?,0.62223,-0.54292,-0.52975,-0.73446,-1.16507,?,1.127822,-0.199681,0,-0.977006,-0.117838,-0.051393,0,0,0.486514,0.303985,-0.562853,0.254999,-0.49295,1.157176,0.000436,-0.598275,-0.26417,-0.238772,-0.895156,0.489218,0.08819,-0.47245,-0.185012,0.628401,-0.240605,-0.187761,2.38882,0.981374,0.875519,0.40036,0.920827,0.676762,-0.307167,-0.310408,-0.60147,-1.213179,-0.235834,0.014693,0.264563,-0.135856,0.723986,0.097429,-0.676318,-1.007027,0.577339,1.096995,-0.444789,0.321238,-0.501183,0.166955,0.062512,-0.399016,-0.47637,0.19057,-0.468429,-0.274383,-0.278349,-0.08688,0.478903,0,0,0,0,0,0,0,0,0,-0.193295,0.447622,4.710589,4.388147,4.534645,4.684707,5.006913
